Time;Item;Looter;GP Action;ID
2020-07-26 21:27:59;[Bloodfang Chestpiece];Maro;Bank-D/E;16905
2020-07-26 21:28:14;[Therazane's Link];Maro;Bank-D/E;19380
2020-07-26 21:28:45;[Head of Nefarian];Aionara;Mainspec GP;19002
2020-08-02 19:48:12;[Bloodfang Bracers];Schellenmann;Mainspec GP;16911
2020-08-02 19:50:00;[The Untamed Blade];Pitscher;Mainspec GP;19334
2020-08-02 19:52:48;[Dragonstalker's Belt];Arlis;Bank-D/E;16936
2020-08-02 19:53:38;[Helm of Endless Rage];Crayven;Offspec GP;19372
2020-08-02 19:54:05;[Nemesis Belt];Riese;Offspec GP;16933
2020-08-02 20:07:37;[Bloodfang Boots];Schellenmann;Offspec GP;16906
2020-08-02 20:07:51;[Stormrage Boots];Arlis;Bank-D/E;16898
2020-08-02 20:10:30;[Head of the Broodlord Lashlayer];Zann;Bank-D/E;20383
2020-08-02 20:24:30;[Bloodfang Gloves];Arlis;Bank-D/E;16907
2020-08-02 20:24:54;[Cloak of Firemaw];Pitscher;Mainspec GP;19398
2020-08-02 20:38:14;[Interlaced Shadow Jerkin];Arlis;Bank-D/E;19439
2020-08-02 20:41:10;[Gauntlets of Wrath];Naiko;Offspec GP;16964
2020-08-02 20:41:36;[Ebony Flame Gloves];Avón;Bank-D/E;19407
2020-08-02 20:44:05;[Drake Talon Cleaver];Nadila;Offspec GP;19353
2020-08-02 20:45:07;[Circle of Applied Force];Tasêrfacê;Offspec GP;19432
2020-08-02 20:51:53;[Chromatically Tempered Sword];Hunksfox;Mainspec GP;19352
2020-08-02 20:52:11;[Pauldrons of Transcendence];Arlis;Bank-D/E;16924
2020-08-02 20:52:24;[Girdle of the Fallen Crusader];Arlis;Bank-D/E;19392
2020-08-02 20:52:33;[Stormrage Pauldrons];Arlis;Bank-D/E;16902
2020-08-02 20:59:29;[Neltharion's Tear];Maddi;Mainspec GP;19379
2020-08-02 20:59:38;[Stormrage Chestguard];Arlis;Bank-D/E;16897
2020-08-02 20:59:55;[Bloodfang Chestpiece];Arlis;Bank-D/E;16905
2020-08-02 21:00:45;[Prestor's Talisman of Connivery];Schellenmann;Mainspec GP;19377
2020-08-02 21:01:20;[Head of Nefarian];Choult;Offspec GP;19002
2020-08-09 19:51:39;[Bloodfang Bracers];Arlis;Bank-D/E;16911
2020-08-09 19:51:50;[The Black Book];Avón;Bank-D/E;19337
2020-08-09 19:52:02;[Netherwind Bindings];Arlis;Bank-D/E;16918
2020-08-09 19:55:12;[Nemesis Belt];Avón;Bank-D/E;16933
2020-08-09 19:55:23;[Rune of Metamorphosis];Lomeluin;Bank-D/E;19340
2020-08-09 19:55:40;[Judgement Belt];Arlis;Bank-D/E;16952
2020-08-09 20:07:34;[Head of the Broodlord Lashlayer];Chokeon;Bank-D/E;20383
2020-08-09 20:07:58;[Dragonstalker's Greaves];Arlis;Bank-D/E;16941
2020-08-09 20:08:16;[Black Brood Pauldrons];Arlis;Bank-D/E;19373
2020-08-09 20:08:38;[Judgement Sabatons];Lorathos;Offspec GP;16957
2020-08-09 20:11:57;[Band of Dark Dominion];Riese;Offspec GP;19434
2020-08-09 20:16:05;[Drake Talon Cleaver];Arlis;Bank-D/E;19353
2020-08-09 20:16:57;[Firemaw's Clutch];Bombalgir;Mainspec GP;19400
2020-08-09 20:27:07;[Draconic Avenger];Arlis;Bank-D/E;19354
2020-08-09 20:29:12;[Netherwind Gloves];Aionara;Mainspec GP;16913
2020-08-09 20:29:20;[Malfurion's Blessed Bulwark];Arlis;Bank-D/E;19405
2020-08-09 20:30:36;[Judgement Gauntlets];Arlis;Bank-D/E;16956
2020-08-09 20:30:51;[Herald of Woe];Arlis;Bank-D/E;19357
2020-08-09 20:39:20;[Netherwind Mantle];Aionara;Mainspec GP;16917
2020-08-09 20:40:03;[Claw of Chromaggus];Xzoe;Mainspec GP;19347
2020-08-09 20:40:31;[Nemesis Spaulders];Harcort;Mainspec GP;16932
2020-08-09 20:40:42;[Taut Dragonhide Shoulderpads];Arlis;Bank-D/E;19389
2020-08-09 20:50:23;[Lok'amir il Romathis];Lorathos;Mainspec GP;19360
2020-08-09 20:50:56;[Staff of the Shadow Flame];Wysiwyg;Mainspec GP;19356
2020-08-09 20:51:15;[Robes of Transcendence];Bombalgir;Mainspec GP;16923
2020-08-09 20:51:23;[Bloodfang Chestpiece];Arlis;Bank-D/E;16905
2020-08-09 20:51:50;[Head of Nefarian];Tamu;Mainspec GP;19002
2020-08-16 19:44:36;[Bracelets of Wrath];Pitscher;Offspec GP;16959
2020-08-16 19:44:40;[Gloves of Rapid Evolution];Arlis;Bank-D/E;19369
2020-08-16 19:44:46;[Bindings of Transcendence];Arlis;Bank-D/E;16926
2020-08-16 19:47:38;[Belt of Transcendence];Arlis;Bank-D/E;16925
2020-08-16 19:47:58;[Red Dragonscale Protector];Antaresfm;Offspec GP;19348
2020-08-16 19:48:14;[Dragonstalker's Belt];Arlis;Bank-D/E;16936
